1,1,209.68,139.73,48.103,106.9,-1,-1,-1,-1
1,2,545.71,168.47,28.589,63.532,-1,-1,-1,-1
1,3,-7.1639,158.28,33.307,74.015,-1,-1,-1,-1
1,4,488.99,205.3,38.276,85.058,-1,-1,-1,-1
1,5,336.24,213.33,38.233,84.961,-1,-1,-1,-1
1,6,228.49,163,40.744,90.543,-1,-1,-1,-1
1,7,96.664,153.07,35.651,79.225,-1,-1,-1,-1
1,8,53.476,199.59,28.778,63.952,-1,-1,-1,-1
1,9,474.49,135.94,27.029,60.064,-1,-1,-1,-1
1,10,318.66,128.7,26.683,59.296,-1,-1,-1,-1
1,11,11.555,168.94,28.619,63.598,-1,-1,-1,-1
1,12,160.71,140.04,30.582,67.96,-1,-1,-1,-1
1,13,201.33,167.4,38.8,86.221,-1,-1,-1,-1
1,14,47,141,26,59,-1,-1,-1,-1
2,1,216.4,152.86,42.196,93.768,-1,-1,-1,-1
2,2,551.83,176.41,28.063,62.362,-1,-1,-1,-1
2,3,-3.0539,161.76,33.54,74.533,-1,-1,-1,-1
2,4,489.16,200.17,38.389,85.308,-1,-1,-1,-1
2,5,336.32,213.68,38.076,84.612,-1,-1,-1,-1
2,6,233.06,161.76,41.339,91.865,-1,-1,-1,-1
2,7,103.04,164.17,32.906,73.125,-1,-1,-1,-1
2,8,53.473,195.43,29.055,64.566,-1,-1,-1,-1
2,9,478.83,132.94,26.47,59,-1,-1,-1,-1
2,10,318.68,124.82,26.63,59.178,-1,-1,-1,-1
2,11,16.013,167.22,29.656,65.902,-1,-1,-1,-1
2,12,155.29,138.73,30.514,67.809,-1,-1,-1,-1
2,13,207.71,169.09,38.04,84.533,-1,-1,-1,-1
2,14,48.182,145.36,26,59,-1,-1,-1,-1
2,15,63,177,26,59,-1,-1,-1,-1
3,1,222.98,164.52,38.452,85.449,-1,-1,-1,-1
3,2,562.3,175.41,27.617,61.371,-1,-1,-1,-1
3,3,-5.0256,164.79,33.773,75.052,-1,-1,-1,-1
3,4,494.49,200.46,38.477,85.503,-1,-1,-1,-1
3,5,335.1,212.29,38.104,84.676,-1,-1,-1,-1
3,6,238.78,164.42,41.675,92.611,-1,-1,-1,-1
3,7,109.9,168.26,30.775,68.388,-1,-1,-1,-1
3,8,54.871,195.08,29.742,66.094,-1,-1,-1,-1
3,9,483,129.13,26.368,59,-1,-1,-1,-1
3,10,318.71,120.92,26.586,59.079,-1,-1,-1,-1
3,11,16.698,168.13,30.595,67.989,-1,-1,-1,-1
3,12,155.7,141.18,30.242,67.203,-1,-1,-1,-1
3,13,214.72,174.79,36.989,82.198,-1,-1,-1,-1
3,14,50.545,139.58,28.596,63.546,-1,-1,-1,-1
3,15,65.894,175.76,27.921,62.048,-1,-1,-1,-1
3,16,0.56657,151.41,30.867,68.593,-1,-1,-1,-1
3,17,198.64,136.61,26.727,59.392,-1,-1,-1,-1
3,18,7.588,143.06,32.824,72.942,-1,-1,-1,-1
4,1,224.34,171.12,36.201,80.447,-1,-1,-1,-1
4,2,572.14,178.27,27.252,60.559,-1,-1,-1,-1
4,3,-4.5044,166.89,34.007,75.571,-1,-1,-1,-1
4,4,498.36,200.85,38.542,85.648,-1,-1,-1,-1
4,5,335.37,218.07,38.3,85.111,-1,-1,-1,-1
4,6,241.53,162.91,41.771,92.825,-1,-1,-1,-1
4,7,118.84,171.78,29.247,64.993,-1,-1,-1,-1
4,8,55.642,194.71,30.688,68.196,-1,-1,-1,-1
